,review_score,review_comment_message
45,1,"Este foi o pedido
Balde Com 128 Peças - Blocos De Montar 2 un - R$ 25,00 cada (NÃO FOI ENTREGUE)
Vendido e entregue targaryen
Tapete de Eva Nº Letras 36 Peças Crianças 1 un - R$ 35,90 (ESTE FOI ENTREG"
46,5,"Entrega muito rápida
Parabéns"
47,1,comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois
48,4,"Estava faltando apenas um produto, eu recebi hoje , muito obrigada!
Tudo certo!

Att 

Elenice."
49,5,"A bolsa térmica além de linda é super espaçosa . Produto de acordo com o anunciado e a entrega super rápida , entregou bem antes do prazo ."
50,2,Demorou de mais pra entrega 
51,5,super rapido a entrega .... chegou antes da data... 
52,3,A entrega foi dividida em duas. Não houve comunicado do loja. Cheguei a pensar que só haviam enviado parte do produto. 
53,1,Não funciona não faz sincronismo
54,5,Recomendo a todos os clientes
55,3,Gostei 
56,5,OTIMA
57,5,"Gostei muito do jogo de banho.A estampa florida, o bordado, tudo muito bonito. Ótimo produto."
58,1,"Chegou apenas uma peça, mas na nota e na garantia constam as duas joias."
59,1,EU NÃO RECEBI O PRODUTO E CONSTA NO SISTEMA QUE EU RECEBI ALÉM DE PAGAR CARO DO FRETE 
60,1,"Comprei o relógio, unissex e enviaram um relógio feminino, bem menor que as especificações do anúncio."
61,5,Sempre compro na lannister.Pra mim é a melhor loja on-line
62,5,Produto de qualidade excelente
63,5,Ótimo custo-benefício
64,5,OK
65,5,Gostei da atenção com a entrega
66,4," Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs
."
67,1,A peça não serviu
68,1,Comprei o produto dia 25 de fevereiro e hoje dia 29 de marco não fora entregue na minha residência. Não sei se os correios desse Brasil e péssimo ou foi a própria loja que demorou postar.
69,1,"fiz minha compra faz 30 dias e não recebi ainda meu produto.
Precisa melhorar nas entregas"
70,5,"Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon."
71,5,"Entregou no prazo certo, fiquei feliz com a compra que fiz"
72,5,Lindo relógio adorei
73,3,"Comprei dois lustres pendentes, com a parceira targaryen e só me enviaram um lustre. Abri reclamação, mas ainda não recebi resposta. Aguardo solução por parte de Lojas lannister."
74,5,Muito bom alta qualidade!
75,5,"Produto bonito, entregue bem valado e dentro do prazo. Recomendo!"
76,5,Muito bom
77,1,Faltou 1 produto e os que recebi 1 veio quebrado
78,5,"chegou dentro do prazo e o produto é de excelente qualidade! Acabou as dores nas costas, estou dormindo muito bem!"
79,1,aqui está descrevendo como entregue só que ate agora não recebi
80,5,"Acho que rastreando o produto devia ser melhor e mais preciso, mas no geral foi uma ótima experiência "
81,5,Ainda não tive a oportunidade de testar
82,3,Comecei a usar agora 
83,5,nada a declarar
84,3,"Comprar um produto correto na capa mas interno ser outro.???????
"
85,3,entrega super rapida
86,3,"Fiz um pedido de 4 garrafas de azeite.Chegaram 2 num dia e as outras 2 quase 48 horas depois.Contato com a loja muito dificil,tanto via e-mail qto por telef.O suspense terminou mas lá não compro mais"
87,5,O produto chegou muito rapido e de boa qualidade recomendo o produto
88,1,"Não posso! Estou aguardando a chegada do produto que comprei!Logo que isso aconteça, terei minha opinião formada!"
89,1,Comprei dois produtos e recebi somente um. Mandei dois emails para a loja e não tive nenhum retorno. Estou insatisfeita.
90,3,Não recomendaria esta loja nem pretendo voltar a comprar nela.A mercadoria foi entregue após o prazo e quase 1 mês após a compra. No site das lannister costumam chegar antes do prazo. Estranhei muito
91,5,Recomendo
92,4,Atendeu minha expectativa.
93,5,Entrega antes do prazo. Produto muito prático e de fácil manuseio. 
94,5,"otimo produto só nao veio manual, mas sem problemas."
95,4,"Uma das peças não encaixava, estava de diâmetro diferente. Eu tive que serrar e martelar para poder caber e encaixar.
De resto, tudo ok."
96,5,Excelente produto.
97,5,Tudo certo
98,1,"Demora na entrega, detestei o atendimento e NUNCA mais compro. baratheon quando vendia por eles mesmos era bem melhor! "
99,5,Produto muito bom
100,1,o meu produto não chegou... segundo o rastreio está parado em Ribeirão Preto sp... 
101,1,produto deu defeito na 1 vez de uso.
102,5,super recomendo produto profissional de qualidade
103,1,até agora não recebi o produto.
104,1, A loja anuncia um produto e entrega outro.
105,5,muito bom e rapido quando vi ja tinha chegado
106,5,O produto chegou muito bem
107,5,otimo
108,3,"Apesar de ter sido entregue rapidamente, substituíram a caixa METEORO pela caixa BORNE. Quando tentei reclamar nas lannister o sistema estaav fora do ar. A guitarra e acessórios estavam corretos."
109,5,Muito satisfeito
110,4,parabéns para loja e revendedor apesar de ter demorado um pouco
111,5,"Entregue dentro do prazo, e com bom período de validade."
112,5,"O Jogo de toalhas é lindo mais bonito do que na foto, amei."
113,1,produto foi entregue com umas das alças com problemas (está faltando 1 pino de fixação)
114,2,Foi marcado o dia 14/02 para entrega do pedido e no rastreamento marcava que o produto já havia sido entregue na data mas na realidade não foi entregue. O produto só foi entregue no dia 28/02.
115,2,"LOJA ALÉM DO FRETE SER MUITO CARO . O PRODUTO LEVA QUASE 30 DIAS ÚTEIS , PARA CHEGAR NA SUA CASA"
116,1,"Recebi bem rápido, porém veio outro produto, e não o que eu pedi, o modelo veio diferente, a cor, veio uma capinha que não tem zíper, enfim, não recomendo. "
117,5,sempre comprei no stark e estou satisfeito.
118,5,fiz a compra por tabela e graças A Deus deu tudo certo fico muito grato pode confiar.
119,1,"Cancelaram a minha compra um dia antes da entrega, liguei para a lannister e os atendentes não sabiam o que estava acontecendo, uma bagunça, agora estou esperando para ver se vai ser cobrado"
120,5,produto de qualidade e eficiência na entrega. recebi muito antes do combinado. recomendo
121,5,Produto bom veio no dentro do prazo chegou em 08 dias estão de parabéns. 
122,5,"Tudo ok,o baratheon sempre responsável com a suas entregas."
123,1,o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei
124,1,E muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada 
125,5,A
126,5,entrega rapida
127,4,foi bom
128,5,Mercadoria certa entregue no prazo combinado. Grata
129,1,", muito ruim ! "
130,1,Passou dos dias previstos.
131,3,Ao fazer a compra do kit entendi que receberia 2 frascos de 60 cápsulas (cada) e não 2 frascos com 60 cápsulas no total. Só não vou devolver porque estou precisando do produto.
132,5,Entrega bem antes do prazo perfeito!!
133,5,Cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes 👏👏👏👏?
134,5,bem rapido a entrega e bom comprar com vcs
135,1,Produto não recomendo não ler em nenhum dispositivo
136,4,"Entrega super rápida, parabéns!"
137,4,Tudo rápido e eficiente.
138,5,Creme maravilhoso e entrega super rápida
139,1,"Tentando cancelar o produto desde antes da emissão da nota fiscal. Não fui avisada que estava no correio, não tive nenhuma resposta do cancelamento e nao consigo devolver. "
140,4,"Chegou hoje 
sem comentários"
141,1,"Boa Noite

é lamentável, esta loja que tantas compras eu ja fiz e hoje não me da satisfação sequer de um relógio na importância de 50,00 reais ... um produto com defeito e até agora não me deu retor"
142,5,Muito bom! Aquilo que esperava!
143,2,A capa protetora não é exatamente o que eu esperava deixa a desejar no tipo material e na qualidade.
144,3,No site o produto parece ter melhor qualidade de material e acabamento.
145,5,"Recebi meu produto corretamente e dentro do prazo,verificando na caixa esta tudo correto,mas ainda não montei.Produto lindo,cor perfeita,amamos.
SUPER RECOMENDO."
146,3,"A embalagem deixou a desejar, por pouco o produto não foi danificado, a caixa estava toda amassada."
147,5,Parabéns .Produto entregue bem antes do prazo.Atendeu às minhas necessidades.
148,5,Recomendo.
149,3,Faltaram os cabos e o manual
150,5,ótimo chegou bem antes do prazo .
151,5,Entregue no prazo produto muito bom.
152,2,"O produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios. Lógico, a embalagem chegou amassada e só deus sabe se o produto está funcionando ou não, ainda não testei."
153,5,Acho q deveriam mandar por sedex ao invés de pac
154,1,"Última vez que compro pois hoje vai fazer 1 mês que fiz a comprar e nada, e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen."
155,5,Lindo... Só faltou instruções da troca de pulseiras.
156,5,"Produto exatamente conforme descrito.
Chegou bem antes do prazo!"
157,5,"O produto chegou bem antes do prazo estipulado, amei o atendimento! Super recomendo "
158,1,"Não gostei do produto, material de péssima qualidade."
159,1,"Dos dois produtos comprados, foi entregue apenas um!"
160,1,Nao compro mais na lannister. Se é parceiro da lannister ou não essa targaryen jamais uso novamente. Quando eu ler que é dessa empresa saio correndo. Um absurdo. Quase um mês para entregar. Extra.com ok
161,3,Recebi corretamente o produto
162,5,"recebi o produto dentro do prazo informado, ainda não utilizei."
163,4,"O pedido chegou antes do combinado, muito bom."
164,4,produto entregue conforme anunciado.
165,3,recebe apenas 01 peça do produto! estou precisando da 2 peças restante! 
166,5,LOJA 10
167,4,"O violão que comprei é lindo, porém a cor do adesivo não confere com a foto do ato da compra, mas aprovei."
168,1,Nem fizeram a nota fiscal 
169,5,"Chegou antes do prazo!
Produto excelente!"
170,4,trabalho com profissionalismo das lojas lannister. indico com certeza
171,1,"O MP3 player não funciona, mesmo trocando a pilha diversas vezes. Tive que devolver."
172,5,super recomendo o produto que é muito bom!
173,5,"Pré treino muito bom, um dos melhores do mercado, se não for o melhor. "
174,4," A loja postou o produto de e mediato o correio demorou um pouco
"
175,5,"Sempre compro no stark e sempre sou bem atendido, site eficiente e produtos de ótima qualidade, recomendo a todos podem comprar de olhos fechados! "
176,4,Muito bom desde da compra a entrega td direitinho e rapido
177,5,Tudo ok!
178,1,A targaryen não é de confiança não entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia 14/12/17 empresa falsa quero receber meus produtos que foram pagos com boleto bancari
179,5,Entrega e qualidade do produto de acordo com o esperado.
180,5,Excelente recomendo
181,3,"A bolsa e muito bonita por fora
Mas dentro não tem forro 
E é bem fragil 
"
182,1,"Quando instalei o cartucho de tinta, a minha impressora indicou que o mesmo estava vazio, e apresentou a mensagem de erro ""!"" em cima do marcador de nível da tinta. Já solicitei a troca. "
183,4,"muito bom, recomendo o produto."
184,5,quanto ao site não tenho o que questionar! sempre cumprem super o combinado ... recomendo sempre! mas o produto é fraco.. 
185,4,bom em todos os aspectos
186,5,Até hoje estou satisfeito com a sbmarino
187,1,Não foram entregue as duas capas de couro compradas. Apenas uma delas. Aguardo a devolução do dinheiro ou a entrega da segunda capa.
188,5,Gostei!
189,3,"Fiquei feliz com. O tecido ,mas acho que faltou o lençol de cima para ficar completo , espero que logo lancem."
190,5,Chegou antes do prazo é a cabeceira é linda.
191,3,"Houve alguma confusão entre vendedor e o stark, pois recebi um email do stark pedindo o cancelamento do produto por algum imprevisto na entrega; neguei e recebi o produto dias depois."
192,5,10
193,5,Gostei do produto chegou no tempo certo os vendedores estão de parabéns
194,5,Atendimento excelente
195,4,Gostei 
196,1,No dia 19 de maio usei e a à alça quebrou sem muito peso 
197,5,Toalha do maior campeão do Brasil maravilhosa 
198,5,"A entrega foi realizado muito antes do previsto. 
Bom produto...estou satisfeita"
199,5,Até agora tudo bem estou esperando a entrega do produto
200,5,"A compra ocorreu como o esperado, desde de o pedido até o recebimento do produto. Tudo bem certinho. "
201,5,"O produto foi entregue antes do prazo.
"
202,4,"Gostei muito do produto era exatamente boque eu esperava, entrega dentro do prazo, parabéns recomendo a loja"
203,2,comprei o produto na cor preta e chegou na cor vermelha.
204,5,"já é a segunda vez que compro nesta loja,super eficiente entrega rápida e antes do prazo contratado, produto bem embalado , Nota 10
Muito Obrigado"
205,4,"otimo
"
206,2,Pensei que a mochila fosse um material mais resistente.
207,1,"Comprei um produto e veio outro.
Mandei msg informando o erro , porém não obtive resposta.
Obrigado "
208,1,o produto demora muita para chegar !
209,3,"So recebemos um relogio pelo correio

att
"
210,5,"entrega rápida, produto conforme esperado"
211,5,Tudo como anunciado....Ótimo produto...
212,3,"Produto de boa qualidade, exatamente conforme anunciado, e o preço baixo é uma atrativo a mais."
213,1,"Somente foi entregue uma unidade, ao invés de duas."
214,4," adorei o produto;; recebi antes do prazo combinado ,, ficou muito bonito"
215,5,Muito satisfeito.
216,4,Otimo produto porem caro demais !!! 
217,5,"Produtos otimos, entrega rápida.
Super recomendo!!!"
218,2,"recebi sim mais com defeito os encaixes sao dois igual e nao fecham 
"
219,1,Ainda não recebi
220,5,Tive um pós venda excelente através do Sr Renato
221,5,"Gostei muito do produto, a entrega veio antes do prazo. Recomendo, fica bem encaixado no celular, não tira a elegância do aparelho, como outras as capas que deixam monstruoso com o tamanho."
222,5,Muito bom
223,1,"Até agora nao recebi.Comprei este aparelho por questao de saude,portanto nao recomendo esta loja."
224,5,"Recomendo a todos. Produto de ótima qualidade, entregue sem problemas."
225,5,Produto chegou dentro do prazo. Veio conforme descrição e é excelente.
226,4,"o produto chegou antes do prazo, e gostei bastante!! agora meu rapazinho de 3 aninhos vai aproveitar ao maximo!!"
227,1,"Gostaria de saber quando chegará meu produto?
Pois já se passou a data prevista para entrega , gostaria de uma resposta estou aguardando!"
228,4,Loja Nota 10
229,5,Parabéns. Recebi antes do prazo . tudo correto como foi combinado.
230,1,"O produto entregue difere do pedido
trata-se de um produto inferior!
Gostaria que fosse solucionado o problema!
Não estou satisfeito com procedimento!"
231,5,Muito bom mesmo!
232,2,"Comprei o produto, paguei no boleto e só recebi metade do produto, anunciaram uma coisa é mandaram outra. Muito insatisfeita 😡😡😡"
233,5,Entrega antes do prazo produto muito bem conservado. 
234,5,Produto de ótima qualidade. Adorei!
235,5,"Apesar da demora em expedir a nota fiscal, depois de expedida a entrega foi rápida e o produto veio bem embalado. Recomendo."
236,2,Comprei o produto dia em inicio de março e não recebi no prazo abrindo até um protocolo para resolverem minha situação
237,1,"Não recebi o produto, assim como nenhum contato por parte do .vendedor"
238,1,Nem ratrear estou conseguindo:(
239,5,nota 10
240,3,Esperando o instalador
241,2,"comprei um produto para ser entregue por essa loja
e ainda não recebi
pois assim já se passou a data de entrega"
242,5,Ótimo serviço
243,4,"Ótima compra. Ótimo produto. Só senti falta de algum comunicado entre a compra e a chegada do produto, só contato. Mas valeu."
244,1,veio conforme o pedido mais o pós venda não respondeu nenhuma das minhas perguntas
245,1,"Comprei duas mochilas, recebi apenas uma, o natal está chegando e até agora nada!"
246,5,Perfeitos😁
247,3,"O preço foi ótimo, o prazo de entrega que é longo (mais de 1 mês para entregar). Comprei 2 cartuchos e entregaram apenas 1, reclamei e enviaram o outro ainda dentro do prazo de entrega."
248,5,"prazo foi estendido,porém entregue no prazo divulgado na propaganda. Cadeira conforme foto, vem para montar, mais fácil e linda"
249,5,"Simplesmente lindo!!
Adorei o produto!!
Tamanho perfeito!!
Já comprei várias produtos, já faz anos que compro no baratheon !!"
250,4,MUITO BOM! CHEGOU DENTRO DO PRAZO.
251,5,"Otimo, preço, entregou antes do prazo e produto de ótima qualidade.
"
252,2,"comprei um relogio de presente de natal para meu filho e ate agora nao chegou. enviei mensagens e na ultima conversa o relogio chegaria ontem, porem nao recebi nada."
253,5,só poderia entregar mais rápido fim de ano 
254,5,"Otima Venda, tudo perfeito."
255,5,Produto de ótima qualidade!! Chegou antes do tempo esperado. Amei <3
256,5,"Veio bem embalado, Envio rápido! "
257,5,Estou muito satisfeita com a minha compra e com o recebimento do produto; dentro do prazo!
258,3,"Até agora não recebi nada, a colcha estava prevista para anteontem(18/12) e até agora nada"
259,1,"Os pincéis vieram amassados, não condiz com algumas fotos, mas condiz com a descrição. São fracos, não cabem na case e um veio descolado "
260,5,Produto correspondente as minhas expectativas! Foi entregue antes do prazo estabelecido! 
261,4,Indico a loja compro sempre na lannister .
262,1,"O produto veio diferente da q mostra na foto, não é de luxo, nem acolchoado como dizia."
263,5,"Foi tudo normal , como é mesmo uma compra por internet. Obrigado."
264,4,Boa compra.
265,4,"Produto chegou dentro do prazo. Atende pelo custo benefício, porém a bolsa não é forrada e a alça é de plástico. Estou satisfeita."
266,5,Estou plenamente satisfeita com minha aquisição. E recomendo. A única coisa que não concordo é com o valor de frete. Autíssimo.
267,3,Comprei 02 só enviaram 01
268,2,"parece que mantem bem o alimento sem murchar (batata palha) mas a tampa é estranha, parece que não fecha. e o inox da tampa é feio."
269,1,"Estou aguardando uma resposta até hoje, sobre os meus produtos, já foram pagos e ainda NÃO os recebi, foram 03 iguais e necessito falar com pessoas e NÃO máquina ou gravações."
270,5,Entrega e produto perfeito!
271,5,Parabéns 😤 pelo excelente atendimento de qualidade.
272,4,Produto entregue antecipadamente.
273,5,gostei de comprar recebi o produto antes do prazo e de boa qualidade. recomendo.
274,5,"Super recomendo, stark Sempre chegando antes da dta prevista =D"
275,4,Correios não entregou 
276,4,"Entrega feita no prazo e produto em perfeitas condicoes
Parabens a equipe"
277,3,ainda não recebi o produto
278,1,"Gostaria de receber os produtos corretos, tentei realizar a troca pela devolução de dinheiro no cartão, mas o site da lannister não possibilita que seja realizado."
279,5,"Produto perfeito, entrega rápida. Estou satisfeitíssima. 👏🏽"
280,1,"meu produto veio com defeito,devolvi conforme informado.postado no correio conforme indicado.e até hoje não recebi nenhuma notificação da empresa quanto a devolução e análise para ter meuressarcimento"
281,5,O pedido chegou antes do prazo. Obrigada.
282,1,Só recebemos 1 cartucho já abrimos reclamação no site e ainda não obtive resposta. 
283,4,"Produto de alta qualidade. Descrição confere com o produto
Entregue no tempo certo.
Recomendo."
284,1,O tampo da mesa chegou todo amassado e batido.
285,2,Dentro do prazo porém poderiam agilizar como no meu outro produto que foi entregue em 2 dias.
286,5,O relógio é lindo e a entrega foi muito rápida. Recomendo!
287,5,"Adorei! Pequeno, fácil de usar, não arranha apela e limpa a pele.. recomendo"
288,5,"Como sempre, excelente serviço."
289,1,Até o momento eu n recebir o produto
290,4,Como sempre lannister entrega certinho
291,5,"Produto perfeito, chegou antes do prazo!"
292,5,"Muito bom o produto, melhor que esperava e foi entregue no prazo, gostei bastante. "
293,1,Muito bom o produto e preço cobrado!
294,5,Sdds 
295,5,muito bom o produto.Recomendo
296,5,entrega dentro do prazo isso é importante. 
297,5,"Gostei muito , o objeto veio o mesmo comprado, já comprei em outras lojas e veio outra cor ñ Gostei! Com lannister tudo ok."
298,3,"O aparelho chegou apresentando defeito, não está apresentando todas as funções no visor digital."
299,2,O produto não está nas medidas corretas indicadas na oferta. Terei q ligar para vcs para troca
300,1,No aguardo de um retorno urgente.
301,1,"Produto mais que passou do prazo de entregar, tento resolver o problema com a empresa e não consigo falar com ninguém. Tudo que fazem é me passar para reclamar num sistema que não funciona."
302,3,Só recebi um produto. Consta que já recebi os dois. Não recebi a sapateira. 
303,1,Deram um prazo muito grande para a entrega do produto e não conseguiram entregar no prazo 
304,2,Excelente produto indico a qualquer pessoa.
305,5,tudo certinho entrega no prazo ótimo.
306,1,Não recebi o produto.e agora?
307,3,Chegou amassado... 
308,4,Recomendo!
309,1,"comprei tapete de borracha para tr4 mitsubishi a loja entregou um tapete de pvc horrivel
no titulo ta tapete borracha tr4,
me enganaram e agora o que fazer sendo que tem despesa para devoluçao, por"
310,5,Ótimo perfume. Fragrância maravilhosa. Recomendo
311,4,muito boa e rapida e o produto veio em bom estado agora e mesmo fazer os testes!
312,5,O produto superou minha expectativa. O prazo de entrega foi antecipado em 7 dias. Já instalei e ficou show. 
313,5,entrega rapida
314,5,"Previsão de entrega até 18/10, recebi em 05/10, excelente."
315,3,SOLICITEI DEVOLUÇÃO. PRODUTO COM DEFEITO
316,5,Loja em si é boa pena a americana nao da suporte ao cliente 
317,5,Exatamente o que eu precisava 
318,3,"Achei a qualidade do produto muito ruim, não veio nenhuma bucha ou parafuso para fixar na parede."
319,5,"Obrigada, chegou mto rápido"
320,4,O único problema é que a marcação de data é a marcação americana.
321,4,Acho que o produto deveria ter um prazo de validade maior.
322,5,"Entrega antes do prazo, recomendo essa loja."
323,5,show 
324,3,Boa noite as lojas lannister são ótimas adoro o site hoje faço pouquíssima compra pelo frete abusivo infelizmente não compensa como antes mas precisamos comprar obrigada 
325,5,"Excelente produto, bonito e sofisticado."
326,4,Não veio a nota fiscal
327,5,"agradeço muito, pois recebi o produto correto conforme encontrado no site, a entrega foi super rápida. fiquei muito satisfeito e com certeza vou recomentar para os amigo."
328,5,Entrega rápida produto conforme anunciado
329,1,"MEU PRODUTO AINDA NÃO FOI ENTREGUE, JÁ FIZ MINHA RECLAMAÇÃO E ATÉ AGORA NÃO TIVE NENHUMA PREVISÃO DE ENTREGA. ESTOU SUPER INSATISFEITO E QUERO MEU DINHEIRO DE VOLTA. FOI DENUNCIAR AO PROCON."
330,1,A cortina não é o modelo que pedi. |
331,3,A impressão está saindo com a tinta fraquinha...
332,1,Comprei Rosa com Braços Brancos e entregam toda Preta ?
333,1,Preciso de uma previsão.
334,5,Estou muito satisfeita chegou antes do prazo super recomendo 
335,4,Produto chegou antes do prazo estipulado e atendeu plenamente minhas expectativas. 
336,4,"Entrega dentro do prazo, produto sem nenhum problema"
337,5,bom
338,5,Boa qualidade e preço.
339,5,Sempre entrega antes do prazo.
340,5,muito bom.super recomendo.entrega sempre certa.
341,3,"Boas Pessoal, a atendente da lannister foi muito atenciosa porém a loja que deveria ter me entregado o produto cancelou a comprar ??? O que será que aconteceu ???"
342,5,Entregue antes do prazo! Produto perfeito!
343,5,"Recomendo para todos, não tive problema nenhum, mercadoria e prazo ótimos."
344,5,Gostei de ter comprado nesta loja. Atendimento perfeito.
345,3,"Comprei uma cadeira, recebi no prazo, porém a cadeira veio quebrada na parte inferior. Poderiam ter um maior cuidado na embalagem."
346,5,Sempre compro e sempre recebo o produto certo no prazo ou antes do prazo
347,5,ENTREGA MUITO RAPIDA 
348,5,O produto foi entregue bem antes do prazo.adorei
349,5,Ainda nao instalei mais gostei muito
350,5,Bom produto. Entrega rápida. Recomendo
351,5,Produto recebido no prazo e em perfeitas condições.
352,5,muito bom
353,1,"Recebi outra boneca, quero devolver e não consigo contato! Jamais compraria novamente dessa loja! "
354,3,"ótima compra
mas o frete nao compensa,pesa no orçamento.
devia ter frete grates
"
355,5,N/a
356,4,"O produto chegou como eu imaginava,por enquanto estou gostando
"
357,5,Ótima rápida na entrega OBRIGADO 
358,2,Penso que deveria haver um modo de se comunicar com a empresa caso acontecesse de encomenda não ser entregue 
359,5,"Produto bom, prazo bom..."
360,5,Muito bom. Já é o segundo objeto que compro e recebi sem problema nenhum 
361,5,Bonito e de boa qualidade. Adorei 
362,5,O produto chegou antes do prazo. 
363,1,"Boa noite , não gostei pois nunca conseguimos falar com vcs pelo telefone
"
364,5,Vendedor compromisso do vou o cliente
365,3,"O produto não atendeu minhas espectativas, pois os potinhos são dificeis de abrir e fechar e a bandeja onde vai os potinhos veio com pontos de ferrugem"
366,5,Muito satisfeito entrega super rápida.. Show ..parabéns.. eu vacilei e comprei um celular nas casas Bahia tem quase um mês e não entregaram.. 
367,5,ótimo
368,5,Tudo cento e no prazo recomento
369,1,Não recebi o jogo na cor tabaco. Só o vermelho. 
370,1,"Nao foi entregue na minha casa , por isso nao gostei , nao tenho tempo de esta indo nos correios.."
371,5,Compra perfeita. 
372,1,O produto veio estragado
373,1,"Minha mercadoria não foi entregue , já paguei a primeira fatura quero cancelar a compra pois paguei o frete e não recebi a mercadoria.
"
374,1,PRODUTO JA CHEGOU COM DEFEITO NÃO FUCIONOU CONFORME MINHA NECESSIDADE DE USO. INFELIZMENTE ULTIMA COMPRA MINHA TOTALMENTE INSATISFEITO.
375,3,"Recebi apenas 1 caixa com 100 unidades, e pedi 2 caixas. "
376,1,COMPREI DOIS PENDENTES SÓ CHEGOU UM. PRECISO SABER O QUE FOI QUE HOUVE?
377,4,"Recomendo esta loja entrega direitinho
"
378,4,"Tudo conforme e entrega muito rápida!!!! Que pena que não verifiquei a cor, pois era preta e precisava de cinza. Outro ponto que tive que lixar pouco para funcionar, mas nada demais."
379,5,Entrega rapida e correta
380,4,Produto de fácil montagem e atende perfeitamente ao propósito para otimizar espaço.
381,1,Produto veio com amassados e também não está funcionando corretamente.
382,4,Gostei do produto
383,5,Produto de ótima qualidade
384,1,Estou esperando há mais de vinte dias e ainda não recebi meu produto e não consigo nenhuma informação. 
385,1,Estou aguardando posição da empresa para fazer a devolução do produto.
386,1,fornecedor não enviou o produto correto. solicitei o sabor chocolate e me foi enviado outro sabor.
387,5,Recomendo está loja.
388,5,Ótimo produto. 
389,5,Excelente
390,5,"Continuem assim, com essa responsabilidade com o consumidor, tanto no produto, quanto no prazo de entrega. Primeira vez que compro e vou comprar muitas. Obrigado."
391,5,"Adorei. Moderno, bonito, meu cantinho do café vai ficar top"
392,4,"bom , foi o que esperava."
393,4,"Tudo correu como combinado, nada a reclamar."
394,4,"De fácil manuseio, até o presente atende as expectativas. "
395,5,Relógio lindo entrega antes do prazo
396,4,Veio conforme o anunciado simples mais bonita. 
397,5,Produto condiz com o anúncio 
398,1,O produto ainda não chegou
399,4,satisfeito eu recomendo
