,review_score,comments,sentiment
121,5,produt bom vei dentr praz cheg 08 dia parabém,1
122,5,tud ok baratheon sempr respons entreg,1
123,1,acabent fot bonit cheg sinte fei acabent tod borr orrivel nao gost,0
124,1,desorden compr trê produt vei dia sert vei separ dat separ,0
125,5,,1
126,5,entreg rap,1
127,4,bom,1
128,5,mercad cert entreg praz combin grat,1
129,1,ruim,0
130,1,pass dia previst,0
131,3,faz compr kit entend receb 2 frasc 60 cápsul cad 2 frasc 60 cápsul total vou devolv porqu precis produt,0
132,5,entreg bem ant praz perfeit,1
133,5,cad vez compr fic satisfeit parabém honest client,1
134,5,bem rap entreg bom compr vc,1
135,1,produt recom ler nenhum disposi,0
136,4,entreg sup rápid parabém,1
137,4,tud rápid efici,1
138,5,crem maravilh entreg sup rápid,1
139,1,tent cancel produt desd ant emiss not fiscal avis correi nenhum respost cancel nao consig devolv,0
140,4,cheg hoj coment,1
141,1,boa noit lament loj tant compr ja fiz hoj satisf sequ relógi import 50 00 real produt defeit agor deu ret,0
142,5,bom esper,1
143,2,cap prote exat esper deix desej tip mater qual,0
144,3,sit produt parec ter melhor qual mater acab,0
145,5,receb produt corret dentr praz verific caix tud corret aind mont produt lind cor perfeit am sup recom,1
146,3,embal deix desej pouc produt danific caix tod amass,0
147,5,parabém produt entreg bem ant praz atend necess,1
148,5,recom,1
149,3,falt cab man,0
150,5,ótim cheg bem ant praz,1
151,5,entreg praz produt bom,1
152,2,produt embal apen papel pard sobr embal envi correi lógic embal cheg amass deu sab produt funcion aind test,0
153,5,ach q dev mand sedex invé pac,1
154,1,últ vez compr poi hoj vai faz 1 mê fiz compr nad demor temp entreg est procur direit contr loj lannist targaryen,0
155,5,lind falt instruç troc puls,1
156,5,produt exat conform descrit cheg bem ant praz,1
157,5,produt cheg bem ant praz estipul ame atend sup recom,1
158,1,gost produt mater péss qual,0
159,1,doi produt compr entreg apen,0
160,1,nao compr lannist parc lannist targaryen jamal uso nov ler dess empr sai corr absurd quas mê entreg extr ok,0
161,3,receb corret produt,0
162,5,receb produt dentr praz inform aind utiliz,1
163,4,ped cheg ant combin bom,1
164,4,produt entreg conform anunci,1
165,3,receb apen 01 peç produt precis 2 peç rest,0
166,5,loj 10,1
167,4,viol compr lind porém cor ades conf fot ato compr aprov,1
168,1,fiz not fiscal,0
169,5,cheg ant praz produt excel,1
170,4,trabalh profission loj lannist indic cert,1
171,1,mp3 play func troc pilh divers vez devolv,0
172,5,sup recom produt bom,1
173,5,pré trein bom melhor merc melhor,1
174,4,loj post produt mediat correi demor pouc,1
175,5,sempr compr stark sempr bem atend sit efici produt ótim qual recom tod pod compr olh fech,1
176,4,bom desd compr entreg td direit rap,1
177,5,tud ok,1
178,1,targaryen confianç entreg compr coloc rastre ped entreg dia dat empr fals quer receb produt pag bolet bancar,0
179,5,entreg qual produt acord esper,1
180,5,excel recom,1
181,3,bols bonit dentr forr bem fragil,0
182,1,instal cartuch tint impres indic vazi apresent mens err cim marc nível tint solicit troc,0
183,4,bom recom produt,1
184,5,quant sit quest sempr cumpr sup combin recom sempr produt frac,1
185,4,bom tod aspect,1
186,5,hoj satisfeit sbmarin,1
187,1,entreg dua cap cour compr apen aguard devoluç dinh entreg segund cap,0
188,5,gost,1
189,3,fiq feliz tec ach falt lençol cim fic complet esper log lanc,0
190,5,cheg ant praz cabec lind,1
191,3,algum confus vend stark poi receb email stark ped cancel produt algum imprevist entreg neg receb produt dia,0
192,5,10,1
193,5,gost produt cheg temp cert vend parabém,1
194,5,atend excel,1
195,4,gost,1
196,1,dia 19 mai use alç quebr pes,0
197,5,toalh mai campeã brasil maravilh,1
198,5,entreg realiz ant previst bom produt satisfeit,1
199,5,agor tud bem esper entreg produt,1
200,5,compr ocorr esper desd ped receb produt tud bem cert,1
201,5,produt entreg ant praz,1
202,4,gost produt exat boqu esper entreg dentr praz parabém recom loj,1
203,2,compr produt cor pret cheg cor vermelh,0
204,5,segund vez compr nest loj sup efici entreg rápid ant praz contrat produt bem embal not 10 obrig,1
205,4,otim,1
206,2,pens mochil mater resist,0
207,1,compr produt vei outr mand msg inform err porém obtiv respost obrig,0
208,1,produt dem muit cheg,0
209,3,so receb relogi correi att,0
210,5,entreg rápid produt conform esper,1
211,5,tud anunci ótim produt,1
212,3,produt boa qual exat conform anunci preç baix atra,0
213,1,soment entreg unidad invé dua,0
214,4,ador produt receb ant praz combin fic bonit,1
215,5,satisfeit,1
216,4,otim produt por car demal,1
217,5,produt otim entreg rápid sup recom,1
218,2,receb sim defeit encaix sao doi igual nao fech,0
219,1,aind receb,0
220,5,pó vend excel através sr renat,1
221,5,gost produt entreg vei ant praz recom fic bem encaix celul tir eleg aparelh outr cap deix monstr tamanh,1
222,5,bom,1
223,1,agor nao receb compr aparelh questa saud portant nao recom loj,0
224,5,recom tod produt ótim qual entreg problem,1
225,5,produt cheg dentr praz vei conform descr excel,1
226,4,produt cheg ant praz gost bast agor rap 3 aninh vai aprove max,1
227,1,gost sab cheg produt poi pass dat prev entreg gost respost aguard,0
228,4,loj not 10,1
229,5,parabém receb ant praz tud corret combin,1
230,1,produt entreg dif ped trat produt inferi gost solucion problem satisfeit proced,0
231,5,bom,1
232,2,compr produt pag bolet receb metad produt anunci cois mand outr insatisfeit,0
233,5,entreg ant praz produt bem conserv,1
234,5,produt ótim qual ador,1
235,5,apes dem exped not fiscal exped entreg rápid produt vei bem embal recom,1
236,2,compr produt dia inici març receb praz abr protocol resolv situ,0
237,1,receb produt assim nenhum contat part vend,0
238,1,ratr consegu,0
239,5,not 10,1
240,3,esper instal,0
241,2,compr produt entreg loj aind receb poi assim pass dat entreg,0
242,5,ótim serviç,1
243,4,ótim compr ótim produt sent falt algum comunic compr cheg produt contat val,1
244,1,vei conform ped pó vend respond nenhum pergunt,0
245,1,compr dua mochil receb apen natal cheg agor nad,0
246,5,perfeit,1
247,3,preç ótim praz entreg long 1 mê entreg compr 2 cartuch entreg apen 1 reclam envi outr aind dentr praz entreg,0
248,5,praz estend porém entreg praz divulg propagand cade conform fot vem mont fácil lind,1
249,5,simples lind ador produt tamanh perfeit compr vár produt faz ano compr baratheon,1
250,4,bom cheg dentr praz,1
251,5,otim preç entreg ant praz produt ótim qual,1
252,2,compr relogi pres natal filh ate agor nao cheg envi mens ult convers relogi cheg ont por nao receb nad,0
253,5,pod entreg rápid fim ano,1
254,5,otim vend tud perfeit,1
255,5,produt ótim qual cheg ant temp esper ame 3,1
256,5,vei bem embal envi rápid,1
257,5,satisfeit compr receb produt dentr praz,1
258,3,agor receb nad colch prev anteont 18 12 agor nad,0
259,1,pincel vier amass condiz algum fot condiz descr frac cab cas vei descol,0
260,5,produt correspond expect entreg ant praz estabelec,1
261,4,indic loj compr sempr lannist,1
262,1,produt vei difer q mostr fot lux acolcho diz,0
263,5,tud norm compr internet obrig,1
264,4,boa compr,1
265,4,produt cheg dentr praz atend cust benefíci porém bols forr alç plás satisfeit,1
266,5,plen satisfeit aquis recom únic cois concord val fret aut,1
267,3,compr 02 envi 01,0
268,2,parec mant bem aliment murch batat palh tamp estranh parec fech inox tamp fei,0
269,1,aguard respost hoj sobr produt pag aind receb 03 igual necessit fal pesso máquin grav,0
270,5,entreg produt perfeit,1
271,5,parabém excel atend qual,1
272,4,produt entreg antecipad,1
273,5,gost compr receb produt ant praz boa qual recom,1
274,5,sup recom stark sempr cheg ant dta prev d,1
275,4,correi entreg,1
276,4,entreg feit praz produt perfeit condico parab equip,1
277,3,aind receb produt,0
278,1,gost receb produt corret tent realiz troc devoluç dinh cart sit lannist possibilit realiz,0
279,5,produt perfeit entreg rápid satisfeit,1
280,1,produt vei defeit devolv conform inform post correi conform indic hoj receb nenhum notific empr quant devoluç anális ter meuressarc,0
281,5,ped cheg ant praz obrig,1
282,1,receb 1 cartuch abr reclam sit aind obtiv respost,0
283,4,produt alt qual descr conf produt entreg temp cert recom,1
284,1,tamp mes cheg tod amass bat,0
285,2,dentr praz porém pod agiliz outr produt entreg 2 dia,0
286,5,relógi lind entreg rápid recom,1
287,5,ador pequen fácil us arranh apel limp pel recom,1
288,5,sempr excel serviç,1
289,1,moment n receb produt,0
290,4,sempr lannist entreg cert,1
291,5,produt perfeit cheg ant praz,1
292,5,bom produt melhor esper entreg praz gost bast,1
293,1,bom produt preç cobr,0
294,5,sdd,1
295,5,bom produt recom,1
296,5,entreg dentr praz import,1
297,5,gost objet vei compr compr outr loj vei outr cor ñ gost lannist tud ok,1
298,3,aparelh cheg apresent defeit apresent tod funç vis digit,0
299,2,produt med corret indic ofert q lig vc troc,0
300,1,aguard retorn urgent,0
301,1,produt pass praz entreg tent resolv problem empr consig fal ninguém tud faz pass reclam sistem func,0
302,3,receb produt const receb doi receb sapat,0
303,1,der praz grand entreg produt consegu entreg praz,0
304,2,excel produt indic qualqu pesso,0
305,5,tud cert entreg praz ótim,1
306,1,receb produt agor,0
307,3,cheg amass,0
308,4,recom,1
309,1,compr tapet borrach tr4 mitsubish loj entreg tapet pvc horri titul ta tapet borrach tr4 engan agor faz send desp devoluça,0
310,5,ótim perfum fragr maravilh recom,1
311,4,boa rap produt vei bom est agor faz test,1
312,5,produt super expect praz entreg antecip 7 dia instal fic show,1
313,5,entreg rap,1
314,5,previs entreg 18 10 receb 05 10 excel,1
315,3,solicit devoluç produt defeit,0
316,5,loj si boa pen americ nao suport client,1
317,5,exat precis,1
318,3,ach qual produt ruim vei nenhum buch parafus fix pared,0
319,5,obrig cheg mto rápid,1
320,4,únic problem marc dat marc americ,1
321,4,ach produt dev ter praz validad mai,1
322,5,entreg ant praz recom loj,1
323,5,show,1
324,3,boa noit loj lannist ótim ador sit hoj faç pouqu compr fret abus infeliz compens ant precis compr obrig,0
325,5,excel produt bonit sofistic,1
326,4,vei not fiscal,1
327,5,agradeç poi receb produt corret conform encontr sit entreg sup rápid fiq satisfeit cert vou recoment amig,1
328,5,entreg rápid produt conform anunci,1
329,1,produt aind entreg fiz reclam agor nenhum previs entreg sup insatisfeit quer dinh volt denunci procon,0
330,1,cortin model ped,0
331,3,impress saind tint fraq,0
332,1,compr ros braç branc entreg tod pret,0
333,1,precis previs,0
334,5,satisfeit cheg ant praz sup recom,1
335,4,produt cheg ant praz estipul atend plen expect,1
336,4,entreg dentr praz produt nenhum problem,1
337,5,bom,1
338,5,boa qual preç,1
339,5,sempr entreg ant praz,1
340,5,bom sup recom entreg sempr cert,1
341,3,boa pessoal atend lannist atenci porém loj dev ter entreg produt cancel compr acontec,0
342,5,entreg ant praz produt perfeit,1
343,5,recom tod problem nenhum mercad praz ótim,1
344,5,gost ter compr nest loj atend perfeit,1
345,3,compr cade receb praz porém cade vei quebr part inferi pod ter mai cuid embal,0
346,5,sempr compr sempr receb produt cert praz ant praz,1
347,5,entreg rap,1
348,5,produt entreg bem ant praz ador,1
349,5,aind nao instal gost,1
350,5,bom produt entreg rápid recom,1
351,5,produt receb praz perfeit cond,1
352,5,bom,1
353,1,receb outr bonec quer devolv consig contat jamal compr nov dess loj,0
354,3,ótim compr fret nao compens pes orç dev ter fret grat,0
355,5,n,1
356,4,produt cheg imagin enquant gost,1
357,5,ótim rápid entreg obrig,1
358,2,pens dev mod comunic empr cas acontec encomend entreg,0
359,5,produt bom praz bom,1
360,5,bom segund objet compr receb problem nenhum,1
361,5,bonit boa qual ador,1
362,5,produt cheg ant praz,1
363,1,boa noit gost poi nunc consegu fal vc telefon,0
364,5,vend compromiss vou client,1
365,3,produt atend espect poi pot dificel abr fech bandej ond vai pot vei pont ferrug,0
366,5,satisfeit entreg sup rápid show parabém vacil compr celul cas bah quas mê entreg,1
367,5,ótim,1
368,5,tud cent praz recoment,1
369,1,receb jog cor tabac vermelh,0
370,1,nao entreg cas nao gost nao temp ind correi,0
371,5,compr perfeit,1
372,1,produt vei estrag,0
373,1,mercad entreg pag prim fatur quer cancel compr poi pag fret receb mercad,0
374,1,produt ja cheg defeit fucion conform necess uso infeliz ult compr total insatisfeit,0
375,3,receb apen 1 caix 100 unidad ped 2 caix,0
376,1,compr doi pend cheg precis sab,0
377,4,recom loj entreg direit,1
378,4,tud conform entreg rápid pen verifiq cor poi pret precis cinz outr pont lix pouc funcion nad demal,1
379,5,entreg rap corret,1
380,4,produt fácil mont atend perfeit propósit otimiz espaç,1
381,1,produt vei amass funcion corret,0
382,4,gost produt,1
383,5,produt ótim qual,1
384,1,esper vint dia aind receb produt consig nenhum inform,0
385,1,aguard pos empr faz devoluç produt,0
386,1,fornec envi produt corret solicit sab chocolat envi outr sab,0
387,5,recom loj,1
388,5,ótim produt,1
389,5,excel,1
390,5,continu assim respons consum tant produt quant praz entreg prim vez compr vou compr muit obrig,1
391,5,ador modern bonit cant café vai fic top,1
392,4,bom esper,1
393,4,tud corr combin nad reclam,1
394,4,fácil manusei pres atend expect,1
395,5,relógi lind entreg ant praz,1
396,4,vei conform anunci simpl bonit,1
397,5,produt condiz anúnci,1
398,1,produt aind cheg,0
399,4,satisfeit recom,1
400,5,ame cheg rapid aind vou test lo obrig,1
401,5,gost compr vc obrig brev far outr compr vand,1
402,1,aind receb produt,0
403,4,receb bols difer gost previst pra 31 jan ach temp porqu pra escol aguard val compr prim compr bols deu cert,1
404,5,receb produt quer ant praz combin bom recom cert,1
405,3,propagand escrit mix elétr vei portátil trê quebr quer elétr dev especific melhor produt,0
406,5,produt entreg ant praz combin prim vez compr sit loj lannist recom tal empr seriedad trat client,1
407,1,compr 2 produt so mand 1 n mim der nenhum justific,0
408,4,agradeç bom,1
409,4,,1
410,5,dentr previst,1
411,5,receb ant praz estim,1
412,5,imagin mai bonec legal,1
413,2,problem entreg poi ninguém cas receb mercad hor pass,0
414,5,atenci lig dar acompanh bom praz validad demor cheg agor verific qual produt,1
415,5,efici entreg bem rápid recom,1
416,3,lind relógi,0
417,5,otim produt entreg praz,1
418,4,cheg ant dat praz por vaz pouc produt,1
419,5,sempr compr it cheg perfeit est,1
420,5,produt entreg ant praz ótim est,1
421,3,bom,0
422,5,entreg sup rápid produt ótim qual recom,1
423,5,produt lind ótim,1
424,5,excel,1
425,3,esper toalh pod gross,0
426,4,entreg dia ant previst,1
427,4,dem pouc pra esquent pot máx 5 atend bem rim dia uso cheir mei borrach queim pass recom pratic cust benefíci,1
428,5,entreg bem embal entreg rap comform promet comform imag,1
429,5,tud ocorr form efici,1
430,5,produt cheg ant praz perfeit cond,1
431,2,produt correspond compr películ men tel celul cobr tod tel,0
432,5,produt conform anunci vei ant praz perfeit,1
433,4,produt bom entreg ant previst,1
434,4,aind use nenhum viag parec boa,1
435,1,produt encaminh cidad destin dia 31 03 moment receb,0
436,5,recom,1
437,1,produt entreg,0
438,1,simples receb produt nao posicion decent acontec,0
439,1,receb braç duch desvi soment duch 20x20 braç 30cm,0
440,4,ador compr loj lannist,1
441,5,entreg rápid produt excel,1
442,5,ótim,1
443,1,produt pod mal funcion telefon consegu faz leit,0
444,5,produt entreg,1
445,1,loj vergonh entreg ped descar duer cancel porc vend stark escolh mal paec,0
446,5,bom,1
447,5,receb produt eh fals quer dinh volt,1
448,1,produt vei conform sit mostr calend sit receb vei difícil faz troc estorn produt,0
449,5,produt bom entreg ant praz,1
450,4,bom,1
451,5,gost,1
452,1,compr doi produt send cheg cab adapt áudi,0
453,5,gost cheg tud cert ant praz entreg,1
454,5,produt entreg dentr praz,1
455,1,fornec targaryen mand massage complet difer compr preç inferi chei avali nega ninguém err mand superi né curi n recom,0
456,5,receb produt praz tud ok,1
457,1,ruim vei produt outr vei err,0
458,1,abr protocol devoluç produt baix qual deu problem prim dia uso lannist vir merc livr 6 ped 6 problem,0
459,5,entreg praz descrit sit,1
460,5,lannist sempr superando,1
461,5,surpreend eficác ótim atent,1
462,5,otim atend tud cert entreg dentr praz,1
463,5,obrig qual produt entreg tbm previst 10 08 cheg dia 22 07 ador parabém,1
464,1,mercad entreg aind,0
465,4,aind utiliz produt,1
466,2,receb encomend form norm dentr praz contud receb prim dat entreg estim posteri dat aument gost dess atitud demor 2 seman,0
467,1,ped q cancelac ant nf emit pq hav ganh pres igual cancel mand assim msm ped nf aind sid emit,0
468,5,lind deu charm sal,1
469,5,ótim atend entreg ant praz,1
470,3,receb produt complet compr quant 02 receb soment 01 const not entreg quant 02 volum 01 quer receb outr cust nenhum poi err,0
471,4,recom,1
472,3,bols lind cor bem próx fot dentr forr descr acab deix pouc desej entreg sup rápid,0
473,1,precis urgent dest mercad praz max dia 3 agor cheg,0
474,4,otim mater bem resist espaç gost,1
475,5,ótim serviç,1
476,5,prest serviç alt qual,1
477,2,produt muit baix qual,0
478,5,produt entreg bem embal perfeit cond,1
479,2,demor entreg,0
480,3,compr efetu doi urs rez ros azul receb soment produt adquir ros aguard retorn vend sobr ocorr vou receb outr,0
481,1,produt defeit apresent risc confi evi mail efet lig retorn,0
482,3,mod geral satisfatóri grav las just las deix desej quant centr ping marc bem qual grav,0
483,5,cheg ant dat prev recomend amig loj stark parabém,1
484,5,tapet lind cheg ant praz,1
485,4,gost,1
486,4,pod ter agiliz entreg porém receb produt ótim cond,1
487,5,protud cheg ótim est conserv ant praz,1
488,5,produt excel qual entreg feit ant praz previst satisfeit,1
489,5,produt lind preç excel entreg sup rápid ocorr ant praz recom quart fic ir,1
490,3,produt vei not fiscal solic telefon,0
491,3,produt bom,0
492,5,satisfeit recom,1
493,5,pod compr med,1
494,4,gost compr ness loj porqu agent ñ precis avis entreg,1
495,5,excel produt,1
496,5,produt entreg praz not 10,1
497,1,descr produt err consegu us produt ped cancel faz 15 dia aind obtiv respost,0
498,5,bom exel,1
499,5,atend eficaz entreg dentr praz,1
500,5,cheg pouc ant praz bom,1
501,5,gost demal travess descrit sit,1
502,5,sup recom entreg produt ok,1
503,1,pontual satisf client,0
504,5,satisfeit aquis negóci entreg praz produt bem embal not fiscal caix orig garant man usu prim impress relógi perfeit,1
505,5,atend expect,1
506,5,bom encomend cheg cert,1
507,1,mosquit vei doi fur part superi ped mosquit king por nao vei kiung sim que,0
508,3,bom,0
509,5,produt cheg rapid conform anunci,1
510,2,produt baix qual,0
511,5,produt qual preç just entreg dentr praz produt atend expect recom vend,1
512,1,envi produt err,0
513,1,efet compr pag dua unidad receb apen unidad aguard trat,0
514,5,ador produt cheg ant praz estipul satisfeit,1
515,5,tud ok,1
516,3,quadr entreg correi cheg mad atrás quebr tel quadr danific afund cheg avari produt,0
517,2,produt import vei defeit,0
518,4,produt simpl bonit,1
519,5,gost agil entreg,1
520,1,aind receb,0
521,4,esper mai pouc,1
522,3,produt razoa envi produt embal propr cheg td amass quas q danific,0
523,5,produt cheg ant praz bem embal fornec av qualid produt boa,1
524,3,gost sab dia corret entreg,0
525,5,produt bom,1
526,5,otim produt,1
527,2,bom dia compr beb vermelh metál receb beb ros ob cachorr mach,0
528,1,entreg prim vez acontec,0
529,4,produt demor mê entreg temp demal pod ter cheg ant dat limit tud ok,1
530,1,compr 2 unidad produt vei avari vist embal frac send vei doi burac fund panel dev press dog coloc cim,0
531,5,ach pod ter compr cartuch fiz porqu cad cartuch vei fret difer cois pod coloc únic pacot barate fret,1
532,3,compr lannist trat loj confianç porém cheg produt descobr vend marc targu verdad produt falsific confi,0
533,5,excel serviç,1
534,1,ped cancel assim loj envi produt devolv produt quer estorn compr cart crédit,0
535,1,compr jog panel 8 panel panel press vermelh panel tip oval receb jog 6 panel jog espátul pret cois ped vei apen frid,0
536,5,compr dia receb outr mercad excel,1
537,1,gost qual ench almof,0
538,4,conform solicit precis faz devoluç entreg praz precis solicit aqu entr contat vend aguard faz devoluç,1
539,5,gosta rapid entreg,1
540,1,quer sab demal produt 3 it,0
541,5,parabém,1
542,1,poss dar opin sobr produt poi receb sobr loj recom poi atras entreg,0
543,5,produt cheg praz perfeit condiço vei embal form incri bem embal cheg nenhum arranha,1
544,1,receb produt,0
545,4,compr 2 doi produt igual pag 2 doi fret empr pod ter coloc únic embal cobr apen fret produt entreg perfeit cond ótim produt,1
546,5,ótim produt,1
547,3,produt qual entreg demor,0
548,5,entreg muit rápid produt ótim est,1
549,5,gost sab produt mud embal poi compr embal vermelh receb outr embal tod flor precis sab produt,1
550,4,lavab bem bonit igual descr vei manch bem pequen nad problem recom,1
551,2,produt entreg total difer compr,0
552,5,ótim td aspect,1
553,2,aind aguard,0
554,4,aid nao receb produt,1
555,5,receb ant dat promet recom loj,1
556,4,demor quas trint dia temp demal,1
557,2,depend poss avali resolv problem po compr 4 correi entreg pacot cont 2 pen,0
558,5,gost,1
559,5,bom,1
560,1,boa tard problem ped sim vei mosquet err ped tamanh queen arrast chã círcul cim bem grand vei pequen cam casal nor,0
561,5,ate agor tud perfeit produt entreg praz,1
562,2,compr 2 relógi entreg 1,0
563,5,produt ok receb dentr praz bem ant previst,1
564,2,entreg antecip uma panel press vei suport quebr,0
565,5,tud ok,1
566,5,ótim produt recom,1
567,1,entreg demor compr dat agor receb produt,0
568,5,bom,1
569,4,produt cheg conform anunci gost,1
570,5,dentr praz informaco encaminh produt form cl,1
571,5,excel recom,1
572,1,produt entequ vei err,0
573,1,receb produt produt const envi correi ribe pret correi receb produt envi var mens targaryen obtiv targaryen suj nom,0
574,5,gost,1
575,2,produt vei especific calot vend símbol citroën calot vei símbol,0
576,2,ent conpr gost nao tud nao ach q melhor,0
577,5,loj confianç cheg pras,1
578,4,ame produt sup fácil manus lannist parabém poi cheg bem ant praz,1
579,5,sup recom produt lind,1
580,2,ped dua cart vei defeit outr vei err ñ q ped ped reembols crei q corr bem,0
581,3,motor ótim vem cremalh junt,0
582,5,gost produt entreg rápid,1
583,4,excel produt entreg cheg ant praz previst ótim,1
584,5,produt cheg ant praz estabelec,1
585,5,excel cheg ant combin parabém,1
586,4,gost produt nao ardenc olh cheir alis 90 fo cabel ach segund vez fic sup lis,1
587,5,entreg ant praz estipul ótim sempr compr sit,1
588,4,apes ter bom acab produt bem func,1
589,5,entreg perfeit ant praz produt perfeit est ótim qual,1
590,4,aaa,1
591,5,ótim produt,1
592,5,vei cert sup rápid ame lustr gent,1
593,5,bonit bom cheg rápid,1
594,1,receb apen 1 detec metal compr 2 unidad pod resolv aguard orient,0
